id_produto,nome,categoria,preco,estoque
1,Smartphone Z,Eletrônicos,1250.00,45
2,Notebook Pro,Eletrônicos,4500.00,15
3,Mouse sem Fio,Acessórios,75.00,120
4,Teclado Mecânico,Acessórios,220.00,70
5,Monitor Ultra HD,Eletrônicos,1800.00,30
6,Fone de Ouvido Bluetooth,Eletrônicos,150.00,90
7,Impressora Multifuncional,Escritório,350.00,25
8,Câmera Digital,Eletrônicos,900.00,18
9,HD Externo 1TB,Acessórios,300.00,60
10,Carregador Portátil,Acessórios,55.00,150
11,Tablet Smart,Eletrônicos,850.00,40
12,Smartwatch Fit,Eletrônicos,550.00,55
13,Mesa de Escritório,Móveis,400.00,10
14,Cadeira Ergonômica,Móveis,750.00,22
15,Luminária LED,Escritório,45.00,200
16,Webcam Full HD,Acessórios,120.00,85
17,Roteador Wi-Fi,Eletrônicos,90.00,110
18,Microfone Condensador,Áudio,280.00,35
19,Caixa de Som Portátil,Áudio,180.00,65
20,Placa de Vídeo RTX,Eletrônicos,3500.00,12
21,Kit Ferramentas,Ferramentas,120.00,50
22,Furadeira de Impacto,Ferramentas,180.00,28
23,Parafusadeira Elétrica,Ferramentas,210.00,32
24,Serra Tico-Tico,Ferramentas,250.00,15
25,Chave de Fenda,Ferramentas,15.00,300
26,Jogo de Brocas,Ferramentas,40.00,95
27,Nível a Laser,Ferramentas,160.00,20
28,Martelete Demolidor,Ferramentas,500.00,8
29,Esmerilhadeira,Ferramentas,190.00,25
30,Trena Digital,Ferramentas,60.00,100
31,Batedeira Planetária,Cozinha,320.00,40
32,Liquidificador Turbo,Cozinha,150.00,75
33,Geladeira Frost Free,Eletrodomésticos,2500.00,10
34,Micro-ondas Digital,Eletrodomésticos,450.00,30
35,Fogão de Piso,Eletrodomésticos,800.00,12
36,Lavadora de Roupas,Eletrodomésticos,1800.00,9
37,Aspirador de Pó Robô,Eletrodomésticos,700.00,18
38,Máquina de Café Espresso,Cozinha,550.00,22
39,Panela de Pressão Elétrica,Cozinha,280.00,50
40,Grill Elétrico,Cozinha,110.00,80
41,Camiseta Algodão,Vestuário,35.00,250
42,Calça Jeans Slim,Vestuário,90.00,180
43,Tênis Casual,Calçados,120.00,150
44,Jaqueta de Couro,Vestuário,250.00,60
45,Sapato Social,Calçados,180.00,80
46,Vestido Verão,Vestuário,70.00,110
47,Mochila Escolar,Acessórios,80.00,130
48,Óculos de Sol,Acessórios,150.00,70
49,Relógio de Pulso,Acessórios,220.00,45
50,Boné Esportivo,Vestuário,25.00,200
51,Smartphone Y,Eletrônicos,1100.00,50
52,Smart TV LED,Eletrônicos,2500.00,25
53,Console de Videogame,Eletrônicos,3000.00,15
54,Controle para Console,Acessórios,180.00,70
55,Jogo de Videogame,Entretenimento,150.00,90
56,Kit Limpeza PC,Escritório,30.00,150
57,Filtro de Linha,Acessórios,40.00,180
58,Cabo HDMI,Acessórios,25.00,250
59,Impressora a Laser,Escritório,650.00,20
60,Scanner de Documentos,Escritório,480.00,15
61,Lava-louças,Eletrodomésticos,1500.00,8
62,Frigobar,Eletrodomésticos,600.00,14
63,Adegada de Vinhos,Eletrodomésticos,750.00,7
64,Ar Condicionado Split,Eletrodomésticos,2200.00,11
65,Ventilador de Teto,Eletrodomésticos,180.00,35
66,Processador de Alimentos,Cozinha,200.00,60
67,Sanduicheira Elétrica,Cozinha,80.00,100
68,Forno Elétrico,Cozinha,500.00,15
69,Assadeira de Silicone,Cozinha,30.00,200
70,Conjunto de Panelas,Cozinha,250.00,40
71,T-shirt Básica,Vestuário,25.00,300
72,Blusa de Frio,Vestuário,80.00,120
73,Bota de Couro,Calçados,190.00,65
74,Cinto de Couro,Acessórios,50.00,100
75,Carteira Masculina,Acessórios,40.00,90
76,Saia Midi,Vestuário,65.00,85
77,Bolsa de Ombro,Acessórios,100.00,75
78,Cachecol de Lã,Vestuário,45.00,150
79,Meia Cano Alto,Vestuário,15.00,400
80,Sapato de Salto,Calçados,150.00,50
81,Bicicleta Mountain Bike,Esportes,900.00,12
82,Capacete de Ciclismo,Esportes,150.00,30
83,Halteres 5kg,Esportes,80.00,50
84,Corda de Pular,Esportes,20.00,150
85,Tapete de Yoga,Esportes,60.00,70
86,Bola de Futebol,Esportes,45.00,90
87,Kit Natação,Esportes,95.00,40
88,Tênis de Corrida,Calçados,180.00,80
89,Saco de Pancadas,Esportes,250.00,15
90,Luva de Boxe,Esportes,120.00,25
91,Livro Aventura,Livros,40.00,200
